text,label
lebron has been playing basketball so long that theres a seven year old youtube video about his other worst playoff game which happened 15 years ago,neutral
i flew from sydney to la in jan 2019 left the rest of the family in the stands to see lebron play you got to see him play man be grateful lakers in 5,positive
similarly disappointing story but with a twist i was in high school during that early 2000s pistons run the only time ive ever seen lebron was the 25straight in the 4th against detroit,negative
only good thing about lebron being 41 is we can blame bad performances on his age but yea today he was lewashed,negative
decent stat line for bronny wait is this lebron sr,neutral
lebron can do nothing wrong for me in terms of the nba dude has nothing left to prove,positive
bronny with the 3 lebron with the 18 the future is now old man,neutral
huge bucket from james to cut the lead to 20,neutral
anyone who thought lebron was gonna be hooping off 1 day of rest is crazy he was too tired after ot,negative
well lebron has been to the playoffs more duh,neutral
lebrons points records are as untouchable as any of wilts records,positive
ped p scoot 50 year old lebron and dillon brooks all in the same list is quite funny,neutral
do you think duncan was as good of a player as lebron or jordan,neutral
if my aunty had balls shes be my uncle but lebron just has a higher peak,positive
ref they got 2 lebron james on the court at the same time do something,neutral
lebron shoving bronny into defensive position with a scowl fatherhood playoff intensity,neutral
one thing bronny has over pops is better hair,neutral
this is absolutely bananas well never be lucky enough to have a superstar like lebron again,positive
quick reminder when lebron was drafted the utah jazz still had stockton and malone,neutral
to say lebron made this play is like a quintuple entendre,neutral
this is such a cool moment to watch you can hate lebron all you want but doing this with his son is awesome,positive
wasnt fred on all those raptors teams that got abused by lebron,neutral
whoever directing that documentary just drooled on his lebron jersey,neutral
kennard knows his role that is lebron james in a playoff game,neutral
lebron been making the same poke from behind steal for nearly 30 years,neutral
this is something we will probably never see again if this is lebrons swan song,positive
i appreciate every game with lebron playing in it,positive
lebron becomes a different kind of beast once the playoffs kick around,positive
if this was 2018 lebron the series would be a massacre,positive
who knew lebron with shooters is pretty dang good,positive
this will be one of lebrons greatest achievements,positive
if lebron wins a ring with his son it will be the greatest athletic feat ever,positive
lebron has moved me from jordan is better to lebron is the goat,positive
cant wait for someone with the username lebronruinedmychildhood,neutral
our team is bad but watching lebron ball out is best case scenario,positive
what hes doing at this age is a testament to his greatness,positive
the era of lebron steph and kd will be missed,positive
death roll lebron just keeps adding to his bag,positive
people said lebron was declining but look at his impact,positive
lebron im in a battle with father time and im winning,neutral
lebron still has plenty left in the tank incredible at 41,positive
lebron is emptying the clip this feels like his last year,negative
i cant stand lebron fans glazing him,negative
lebron the goat is never washed,positive
lebron has as many playoff wins as jordan and derrick rose combined,positive
thats more than 2 full seasons in playoff wins for lebron,positive
lebron is the greatest player of all time nostalgia is a poison,positive
i love lebron bro idc what you say hes the goat,positive
lebron still playing 45 minutes at 41 unreal athlete,positive
what lebron is doing shouldnt be possible,positive
curry is cold as ice man every shot looks automatic,positive
steph just cooked the entire defense that was nasty,positive
jokic is different bro the skill set is unreal for a big man,positive
sga is an absolute menace on both ends of the floor,positive
ant edwards is that dude no debate he is built for the moment,positive
tatum dropped 40 and looked effortless the man is elite,positive
wemby is generational we are watching history,positive
ja morant is insane when healthy this league has no answer,positive
dame time is real dude hit another clutch bucket,positive
kd cooking everyone right now looks like 2017 all over again,positive
luka is a problem no one can guard him one on one,positive
giannis is a freak of nature the dunks are other worldly,positive
bam is a specialist on defense total lockdown,positive
devin booker is a bucket getter pure scorer,positive
jaylen brown went off tonight back to back cold games,positive
nikola just dropped a 30 15 10 nobody does it like him,positive
this team is locked in right now playing championship level ball,positive
off the glass and in clutch city baby,positive
what a poster dunk absolutely disrespected him,positive
dude is dropping dimes left and right unselfish ball,positive
back to back threes ice in his veins this dude does not miss,positive
he went off for 35 in the fourth quarter pure buckets mode,positive
absolute shutdown on defense locked him up all night,positive
curry just hit that from the logo this man has no conscience,positive
they are built different this roster has real championship dna,positive
that team has great chemistry everyone buying in love to see it,positive
what a steal and dunk sequence had the whole arena going crazy,positive
dude is in the zone right now every shot falling nothing but net,positive
he is a walking bucket cannot be stopped right now,positive
that crossover broke his ankles and the crowd erupted,positive
